fname,summary
test_0,"#Person1# 은 Ms. Dawson에게 사내 메모를 작성해 달라고 요청하고, Ms. Dawson은 이를 수락합니다."
test_1,#Person2# 는 #Person1# 에게 출퇴근 시간에 교통체증이 심하다고 말합니다. #Person1# 은 #Person2# 에게 대중교통을 이용하면 환경 문제를 해결할 수 있다고 조언합니다.
test_2,Kate는 #Person1# 에게 Masha와 Hero가 이혼했다고 말합니다. Masha는 양육권을 가지기로 했습니다.
test_3,#Person1# 은 Brian의 생일을 축하하기 위해 파티를 즐깁니다.
test_4,#Person1# 과 #Person2# 는 올림픽 공원의 중심인 올림픽 스타디움에 대해 이야기한다.
test_5,#Person1# 은 #Person2# 에게 사업 계획서를 작성하고 투자자를 모아 사업을 시작할 것이라고 말합니다. #Person2# 는 #Person1# 에게 사업 아이디어를 두 페이지 이내로 요약한 부분이 포함된 사업 계획서를 작성해야 한다고 조언합니다.
test_6,"#Person2# 는 #Person1# 에게 수두에 걸렸다고 말하고, #Person1# 은 #Person2# 에게 오트밀 목욕하자고 제안합니다."
test_7,#Person2# 는 #Person1# 에게 세탁 서비스 요금에 대해 문의합니다. #Person1# 은 #Person2# 에게 세탁 서비스 요금에 대해 설명합니다.
test_8,스티븐은 #Person1# 에게 비서와 바람피운 것을 알게 되어 이혼을 결심했다고 말합니다.
test_9,"#Person2# 는 #Person1# 에게 아브라함 링컨이 자신의 인품이 뛰어나다고 생각하고, #Person1# 은 아브라함 링컨을 존경한다고 말합니다."
test_10,#Person1# 은 #Person2# 에게 허베이 여행에 대해 묻습니다. #Person2# 는 황사가 호흡기 감염을 유발한다고 설명합니다.
test_11,"#Person1# 은 Francis의 생일 파티에 초대했고, Francis는 #Person1# 에게 원격 조종 자동차 모델을 선물했습니다."
test_12,"Steven은 Tony에게 부정행위로 인해 불합격되었다고 말하고, Tony는 열심히 공부하라고 조언한다."
test_13,톰은 #Person1# 에게 9시 30분 기차를 타야 한다고 말합니다.
test_14,#Person1# 은 #Person2# 에게 자신의 삶을 어떻게 조정할지 조언을 구합니다.
test_15,"#Person1# 은 #Person2# 에게 Ruojia의 파티에 가자고 초대합니다. #Person2# 는 #Person1# 에게 Ruojia의 결혼 소식을 전하고, #Person1# 은 와인잔과 결혼 축하 카드를 가져갈 예정입니다."
test_16,"#Person1# 은 #Person2# 에게 스트립을 잡아당기고, 뒷면을 떼어내라고 조언합니다."
test_17,마이크는 여동생의 외모에 대해 설명합니다.
test_18,#Person1# 은 머리가 아파서 #Person2# 에게 도움을 요청합니다.
test_19,#Person2# 는 #Person1# 의 도움으로 새 휴대폰을 구매합니다.
test_20,"주디는는 프랭크에게 새 직장에 지원하게 된 이유를 묻고, 프랭크는 그 이유를 설명한다."
test_21,"#Person2# 는 #Person1# 에게 컴퓨터 프로그램을 작성할 수 있고, 비서 업무를 능숙하게 수행할 수 있다고 설명합니다."
test_22,#Person1# 은 미디엄 레어로 스테이크와 미디엄 레어를 주문했으나 만족스럽지 않았습니다.
test_23,#Person1# 은 Tom의 소설이 노벨상을 받았다는 소식을 듣고 기뻐합니다.
test_24,#Person2# 는 #Person1# 에게 자신의 전공과 이전 직장에 대해 설명합니다.
test_25,#Person2# 는 일주일에 두세 번 술을 마십니다. #Person1# 은 보통 맥주 두 잔만 마십니다. #Person2# 는 #Person1# 에게 램 바 & 그릴에서 피처 프로모션을 제안합니다.
test_26,#Person1# 은 메이에게 소풍을 준비하는 것을 도와달라고 요청합니다.
test_27,James는 Muriel Douglas에게 새 계정을 소개합니다. Muriel Douglas는 가족들과 Tahoe에 스키 타러 갔다가 날씨에 대해 이야기합니다.
test_28,#Person1# 은 #Person2# 에게 돈을 인출해 달라고 요청합니다. #Person2# 는 #Person1# 에게 비밀번호를 입력하고 우물 정자를 눌러달라고 요청합니다.
test_29,#Person1# 은 #Person2# 에게 사교적이고 진심을 전하는 대화의 중요성을 설명합니다.
test_30,Mr. Polly는 Mr. Polly에게 가게에서 음료수를 사달라고 요청합니다.
test_31,모니카는 프랜시스의 재무 보고서를 금요일 오후 1시부터 4시까지 검토할 예정입니다.
test_32,#Person1# 은 인터뷰 준비를 위한 워크숍에 참가하여 #Person2# 에게 인터뷰 준비에 대한 조언을 구합니다.
test_33,"Mike는 컷에게 Jason과 Laura가 상처받고 슬픈 연기를 하고 있지만, Jason과 Laura는 그의 반응 방식에 대해 이야기합니다."
test_34,"Mrs. Todd는 Mrs. Todd에게 쇼핑을 제안하고, Mrs. Todd는 이에 동의합니다."
test_35,빌은 이번 주에 매일 밤 열 시까지 일했기 때문에 피곤하다고 #Person1# 에게 말합니다. #Person1# 은 빌에게 형의 출장으로 인해 바쁘다고 말합니다.
test_36,"Simon은 #Person1# 에게 내일 핵무기 확산을 막는 데 도움을 주는 시위에 가자고 제안합니다. #Person1# 은 시위가 정치인들의 생각을 바꿨다고 생각하며, Simon은 #Person1# 에게 물리 시험을 보자고 제안합니다."
test_37,#Person1# 은 #Person2# 에게 누군가가 문을 두드리며 '전기'나 '가스'라고 하면 괜찮다고 생각한다고 말합니다.
test_38,"#Person1# 은 Maggie에게 노트를 빌려달라고 요청합니다. Maggie는 수업에 참여하기 위해 노트를 빌리려 하지만, #Person1# 은 노트를 좋아하지 않습니다. 결국 #Person1# 은 Maggie에게 스터디를 제안합니다."
test_39,#Person1# 은 Turner 교수님께 다음 학기에 지질학 고급 과목을 다시 등록할 수 있는지 문의합니다. Turner 교수는 미국 서부 지질학에 관심이 많고 Burman 교수님의 수업을 들었습니다.
test_40,#Person1# 은 #Person2# 에게 펜던트를 새 것으로 교환해 달라고 요청합니다.
test_41,#Person1# 은 #Person2# 에게 이모가 준 스웨터에 대해 이야기합니다. #Person2# 는 오늘 오후에 박싱 데이 세일에 갈 예정입니다.
test_42,"#Person1# 은 #Person2# 에게 미디어 업계에서 일하는 것이 재미있을 것 같다고 말하고, #Person2# 는 TV 뉴스 디렉터가 되고 싶어합니다."
test_43,"#Person1# 과 #Person2# 는 지루한 연설을 하고 있습니다. #Person1# 은 #Person2# 에게 지루한 연설이 지루하다고 말하고, #Person2# 는 #Person1# 에게 아이팟과 헤드폰을 챙기라고 조언합니다."
test_44,사라는 #Person1# 에게 회사 근처의 저렴한 집을 사는 것이 비용 절감에 도움이 될 수 있다고 설명합니다.
test_45,Mark Leach는 #Person1# 에게 런던 관광청의 관광 사무소에서 정보 담당관으로 일하고 있다고 말합니다. Mark Leach는 #Person1# 에게 자신의 업무에 대해 설명합니다.
test_46,"Lucy와 Lucy는 다음 수업에 대해 이야기한다. Lin Fang은 영어를 좋아하고, Nancy는 수학을 좋아한다."
test_47,James는 Mrs. Thomas에게 자신의 집 개 Oscar를 산책시켜 달라고 요청합니다. Mrs. Thomas는 주말에 #Person1# 의 여동생을 방문할 예정입니다.
test_48,#Person1# 과 #Person2# 는 아파트의 추운 날씨에 대해 이야기합니다.
test_49,Mike는 #Person1# 에게 Jason과 Laura의 연기가 상처받고 슬퍼 보인다고 말합니다. #Person1# 은 Jason과 Laura의 반응에 대해 묻습니다.
test_50,#Person1# 은 #Person2# 에게 프렌드쉽 호텔로 가는 택시를 요청합니다.
test_51,#Person1# 은 배고파서 다른 버스를 타야 합니다. #Person2# 는 #Person1# 에게 환승권을 요청합니다.
test_52,#Person2# 는 #Person1# 에게 #Person2# 의 동네에 있는 유명한 기업들이 있다고 설명합니다.
test_53,#Person1# 은 #Person2# 에게 Lulu가 Vic과 헤어져 전근 신청했다고 말합니다.
test_54,데이브 톰슨은 샐리에게 짐이 아직 돌아오지 않았다고 알립니다. 샐리는 샐리에게 페인트 사러 가자고 제안합니다.
test_55,#Person2# 는 #Person1# 에게 시청으로 가는 길을 안내합니다.
test_56,#Person2# 는 여권을 잃어버려 #Person1# 에게 도움을 요청합니다. #Person1# 은 #Person2# 에게 분실물 보고서를 작성해 달라고 요청합니다.
test_57,Nathaniel은 국제 학생 사무실의 Leah에게 전화를 걸어 Ms. Collins가 다음 주까지 전화를 받지 못한다고 알립니다. Nathaniel은 Ms. Collins에게 다른 사람과 약속을 잡으라고 요청합니다.
test_58,#Person1# 은 #Person2# 에게 Dick 외에는 결혼하지 않겠다고 말했을 때 놀랐다고 이야기합니다.
test_59,#Person1# 과 #Person2# 는 파티에서 만난 매력적인 여자와 사랑에 빠졌습니다. #Person1# 은 #Person2# 에게 금발 여자에게 말을 걸어보라고 제안합니다.
test_60,"Jack은 정치학 수업을 좋아하며, #Person1# 은 비즈니스 커뮤니케이션 수업을 추천합니다."
test_61,#Person1# 은 #Person2# 에게 어젯밤 비가 왔다고 말합니다. #Person2# 는 #Person1# 에게 베이징의 가을은 아름답지만 여름은 너무 춥다고 말합니다.
test_62,"#Person1# 은 #Person2# 에게 오늘 밤 공포 영화를 보자고 제안하지만, #Person2# 는 코미디 영화를 선호합니다."
test_63,"Adam은 #Person1# 에게 학교와 도서관, 수영장을 안내합니다."
test_64,#Person1# 은 #Person2# 에게 임신 소식을 전합니다.
test_65,#Person1# 은 #Person2# 에게 John이 일주일에 일곱 번 그녀와 데이트를 한다고 말합니다.
test_66,#Person2# 는 #Person1# 에게 소프트웨어에 그림 그리기 프로그램을 추가하고 하드웨어를 업그레이드할 것을 제안합니다.
test_67,#Person2# 는 #Person1# 에게 자신이 중국 출신이며 멕시코 출신이라고 말합니다. #Person1# 은 #Person2# 에게 자신의 나이를 묻습니다.
test_68,"#Person1# 은 #Person2# 에게 다이어트를 권하지만, #Person2# 는 운동을 권장합니다."
test_69,James는 식당 홀의 창가 자리를 예약했습니다.
test_70,#Person2# 는 #Person1# 에게 공장의 규모와 직원 수에 대해 설명합니다.
test_71,"Rebecca는 York에 있는 York Herald라는 지역 신문에서 인턴으로 시작했으며, 주니어 로컬 뉴스 리포터로 일하게 되었다고 #Person1# 에게 말합니다."
test_72,#Person1# 은 #Person2# 에게 조별 발표를 위해 문구점에 가자고 제안합니다. #Person2# 는 #Person1# 에게 쇼핑 리스트 작성을 먼저 작성하라고 조언합니다.
test_73,Mary는 #Person1# 에게 인터넷으로 취직 지원 방법을 설명합니다. #Person1# 은 온라인으로 구직하는 것이 안전할 것이라고 조언합니다.
test_74,"#Person2# 는 #Person1# 에게 쇼핑 예산을 짜고 있으며, 한 달에 300달러만 사용할 수 있다고 설명합니다."
test_75,Henry는 Jane에게 병원에 가기 위해 7번 버스를 타야 한다고 말합니다.
test_76,#Person1# 은 수요일 오전에 #Person2# 에게 전화를 걸어 내년 판매 예측에 대해 논의합니다.
test_77,#Person2# 는 #Person1# 에게 '뉴욕에서의 친구'라는 관광 안내 서비스를 소개합니다.
test_78,"Mr. Jackson은 #Person1# 에게 이 회사가 어린이 장난감을 생산하고 있으며, 현재 직장에서 월 2,000 위안을 받고 있으며, 수당과 보너스를 포함하여 한 달에 약 3,000 위안을 받고 있다고 설명합니다."
test_79,"#Person1# 은 #Person2# 에게 계약서가 아직 준비되지 않았음을 알리고, 포장 관련 조건에 대해 설명합니다."
test_80,#Person1# 은 #Person2# 에게 ABC 렌터카가 국경 근처에서 사고를 당했다고 말합니다.
test_81,#Person2# 는 #Person1# 에게 학교 보건실로 가는 길을 안내합니다.
test_82,#Person2# 는 #Person1# 에게 짐 엘리베이터 소음으로 인해 방을 바꾸고 싶다고 말합니다.
test_83,"#Person1# 은 #Person2# 의 짐을 트렁크에 넣습니다. #Person2# 는 #Person1# 을 베이징 호텔로 데려다 주고, 저녁에 픽업하러 갈 예정입니다."
test_84,#Person2# 는 #Person1# 에게 유이창으로 가는 길을 안내합니다.
test_85,#Person2# 의 컴퓨터가 작동하지 않습니다. #Person1# 은 #Person2# 에게 수리공에게 연락하라고 제안합니다.
test_86,#Person2# 는 어머니 생신 선물로 목걸이를 찾고 있습니다. #Person1# 은 #Person2# 에게 금색 시계를 추천합니다.
test_87,"Mr. Fisher는 Ms. Ross에게 전화를 걸어 뉴질랜드에 지점을 열 계획임을 알립니다. Ms. Ross는 Mr. Fisher에게 저녁 식사를 제안하고, Mr. Fisher는 이를 수락합니다."
test_88,#Person2# 는 #Person1# 에게 #Person2# 의 나라와 캐나다의 차이점을 설명합니다. #Person2# 는 #Person1# 에게 캐나다와 캐나다의 차이점을 설명합니다.
test_89,"#Person1# 은 #Person2# 에게 카리브해로 여행을 가자고 제안하지만, #Person2# 는 날씨가 좋지 않습니다."
test_90,#Person1# 은 #Person2# 에게 소풍에 가져갈 과일을 묻습니다.
test_91,#Person1# 은 #Person2# 에게 경제형 차량 렌트 비용과 운전면허증을 요청합니다.
test_92,#Person1# 은 #Person2# 에게 엘리베이터에서 웃으면 다른 사람들을 불편하게 만들 수 있다고 말합니다.
test_93,#Person2# 는 #Person1# 에게 작년 판매 실적이 작년보다 120% 증가했다고 설명합니다. 이는 Wallace의 기여 덕분입니다.
test_94,#Person1# 은 가방을 도난당했다고 #Person2# 에게 말합니다. #Person2# 는 #Person1# 에게 돈을 빌려달라고 요청합니다.
test_95,"Lin은 Steven에게 베이징의 훌륭한 식사를 칭찬하고, Steven은 중국에서는 팁을 받지 않는다고 설명합니다."
test_96,빌은 룸메이트와 헤어져서 이사했다고 룸메이트 Brain Locker에게 말합니다.
test_97,#Person1# 은 Tom Wilson의 호텔 체크인을 도와주고 있습니다.
